iter	Passed	Remaining
412	3518	5000
413	3525	4990
414	3534	4982
415	3542	4973
416	3550	4964
417	3558	4954
418	3566	4945
419	3574	4936
420	3582	4926
421	3590	4917
422	3598	4908
423	3606	4899
424	3615	4891
425	3623	4882
426	3631	4873
427	3639	4864
428	3648	4855
429	3657	4848
430	3665	4839
431	3673	4830
432	3681	4821
433	3690	4812
434	3699	4804
435	3707	4796
436	3715	4786
437	3723	4777
438	3732	4769
439	3740	4760
440	3747	4750
441	3755	4741
442	3764	4733
443	3772	4723
444	3781	4715
445	3789	4707
446	3798	4698
447	3806	4690
448	3814	4681
449	3822	4671
450	3830	4663
451	3839	4655
452	3848	4646
453	3856	4637
454	3864	4628
455	3872	4619
456	3880	4610
457	3889	4602
458	3897	4593
459	3906	4585
460	3914	4576
461	3922	4567
462	3930	4558
463	3937	4548
464	3946	4540
465	3954	4531
466	3962	4522
467	3971	4514
468	3979	4505
469	3988	4497
470	3998	4490
471	4006	4481
472	4014	4472
473	4022	4463
474	4029	4454
475	4037	4445
476	4046	4436
477	4054	4427
478	4062	4418
479	4070	4410
480	4078	4400
481	4087	4392
482	4096	4384
483	4104	4375
484	4112	4366
485	4120	4357
486	4128	4349
487	4136	4340
488	4145	4331
489	4153	4323
490	4161	4314
491	4170	4305
492	4177	4296
493	4185	4287
494	4193	4277
495	4201	4268
496	4209	4260
497	4217	4251
498	4226	4243
499	4234	4234
500	4242	4225
501	4251	4217
502	4259	4208
503	4267	4199
504	4275	4190
505	4282	4181
506	4291	4172
507	4299	4164
508	4308	4155
509	4312	4143
510	4321	4135
511	4329	4126
512	4338	4118
513	4346	4109
514	4354	4100
515	4362	4091
516	4370	4083
517	4378	4074
518	4387	4065
519	4398	4060
520	4406	4050
521	4414	4042
522	4422	4033
523	4429	4024
524	4437	4015
525	4445	4006
526	4453	3997
527	4462	3988
528	4470	3980
529	4478	3971
530	4486	3962
531	4494	3953
532	4502	3945
533	4511	3936
534	4519	3928
535	4522	3914
536	4530	3906
537	4539	3898
538	4547	3889
539	4555	3880
540	4564	3872
541	4572	3864
542	4580	3855
543	4588	3846
544	4596	3837
545	4604	3828
546	4612	3820
547	4621	3811
548	4629	3802
549	4637	3794
550	4645	3785
551	4654	3777
552	4662	3769
553	4670	3760
554	4678	3751
555	4687	3743
556	4696	3734
557	4703	3726
558	4711	3717
559	4719	3708
560	4727	3699
561	4735	3690
562	4743	3681
563	4751	3673
564	4754	3660
565	4762	3651
566	4770	3642
567	4778	3633
568	4787	3626
569	4794	3617
570	4802	3608
571	4812	3600
572	4821	3592
573	4829	3584
574	4837	3575
575	4845	3567
576	4855	3559
577	4863	3550
578	4871	3541
579	4879	3533
580	4889	3526
581	4898	3518
582	4906	3509
583	4914	3500
584	4922	3492
585	4931	3484
586	4939	3475
587	4947	3466
588	4956	3458
589	4966	3451
590	4974	3442
591	4982	3433
592	4991	3425
593	4999	3417
594	5007	3408
595	5016	3400
596	5024	3391
597	5032	3383
598	5041	3374
599	5049	3366
600	5057	3357
601	5065	3349
602	5073	3340
603	5081	3331
604	5089	3322
605	5097	3314
606	5105	3305
607	5113	3297
608	5121	3288
609	5129	3279
610	5137	3270
611	5145	3262
612	5153	3253
613	5161	3245
614	5170	3236
615	5178	3228
616	5186	3219
617	5194	3210
618	5202	3202
619	5210	3193
620	5218	3185
621	5227	3176
622	5236	3168
623	5244	3159
624	5252	3151
625	5260	3142
626	5268	3134
627	5276	3125
628	5284	3116
629	5292	3108
630	5301	3100
631	5309	3091
632	5318	3083
633	5326	3074
634	5334	3066
635	5342	3057
636	5351	3049
637	5359	3040
638	5367	3032
639	5375	3023
640	5383	3015
641	5392	3007
642	5400	2998
643	5408	2989
644	5416	2981
645	5424	2972
646	5432	2963
647	5440	2955
648	5447	2946
649	5456	2937
650	5464	2929
651	5471	2920
652	5479	2911
653	5488	2903
654	5496	2895
655	5504	2886
656	5512	2878
657	5521	2869
658	5530	2861
659	5538	2852
660	5546	2844
661	5554	2836
662	5564	2828
663	5573	2820
664	5581	2811
665	5591	2803
666	5599	2795
667	5608	2787
668	5618	2779
669	5628	2772
670	5637	2764
671	5646	2756
672	5655	2747
673	5663	2739
674	5671	2730
675	5679	2722
676	5688	2713
677	5696	2705
678	5704	2696
679	5712	2688
680	5720	2679
681	5729	2671
682	5737	2662
683	5745	2654
684	5754	2646
685	5762	2637
686	5770	2629
687	5778	2620
688	5786	2611
689	5795	2603
690	5803	2595
691	5812	2586
692	5820	2578
693	5828	2570
694	5836	2561
695	5845	2553
696	5853	2544
697	5862	2536
698	5870	2528
699	5878	2519
700	5886	2510
701	5894	2502
702	5902	2493
703	5910	2485
704	5918	2476
705	5926	2468
706	5934	2459
707	5943	2451
708	5951	2442
709	5959	2434
710	5967	2425
711	5975	2416
712	5983	2408
713	5991	2399
714	6000	2391
715	6009	2383
716	6018	2375
717	6026	2367
718	6035	2358
719	6043	2350
720	6052	2342
721	6062	2334
722	6070	2325
723	6078	2317
724	6087	2309
725	6095	2300
726	6103	2292
727	6111	2283
728	6120	2275
729	6128	2266
730	6136	2258
731	6143	2249
732	6152	2241
733	6156	2231
734	6165	2222
735	6173	2214
736	6181	2205
737	6189	2197
738	6197	2188
739	6205	2180
740	6214	2171
741	6222	2163
742	6230	2155
743	6239	2147
744	6248	2138
745	6256	2130
746	6265	2121
747	6273	2113
748	6282	2105
749	6290	2096
750	6299	2088
751	6307	2080
752	6315	2071
753	6324	2063
754	6332	2054
755	6341	2046
756	6349	2038
757	6358	2029
758	6365	2021
759	6374	2012
760	6381	2004
761	6389	1995
762	6398	1987
763	6405	1978
764	6413	1970
765	6422	1961
766	6430	1953
767	6438	1944
768	6446	1936
769	6455	1928
770	6464	1919
771	6472	1911
772	6481	1903
773	6489	1894
774	6497	1886
775	6510	1879
776	6519	1871
777	6527	1862
778	6535	1854
779	6543	1845
780	6551	1837
781	6560	1828
782	6568	1820
783	6577	1812
784	6584	1803
785	6593	1795
786	6600	1786
787	6609	1778
788	6617	1769
789	6625	1761
790	6633	1752
791	6641	1744
792	6649	1735
793	6657	1727
794	6666	1718
795	6674	1710
796	6682	1702
797	6690	1693
798	6698	1685
799	6706	1676
800	6715	1668
801	6723	1659
802	6731	1651
803	6740	1643
804	6749	1634
805	6758	1626
806	6766	1618
807	6774	1609
808	6782	1601
809	6790	1592
810	6798	1584
811	6806	1575
812	6813	1567
813	6822	1558
814	6830	1550
815	6839	1542
816	6847	1533
817	6855	1525
818	6863	1516
819	6872	1508
820	6880	1500
821	6888	1491
822	6895	1483
823	6903	1474
824	6912	1466
825	6920	1457
