iter	MultiClass
0	1.535759759
1	1.455588169
2	1.3957574
3	1.338954153
4	1.285089535
5	1.240164581
6	1.181852363
7	1.138759106
8	1.098271938
9	1.053630431
10	1.018628892
11	0.9842673742
12	0.9458624765
13	0.9144273469
14	0.8904759097
15	0.8621174381
16	0.8345988928
17	0.8046246005
18	0.7799777651
19	0.7543290248
20	0.7355966276
21	0.7172730831
22	0.6960294893
23	0.6806352452
24	0.660575317
25	0.6415416928
26	0.6245711305
27	0.6066509232
28	0.5897511112
29	0.5744072664
30	0.5589000756
31	0.5469881145
32	0.5363145832
33	0.5258400228
34	0.5130686797
35	0.5035189247
36	0.4914231741
37	0.4792081418
38	0.4689114555
39	0.4532758844
40	0.4437608484
41	0.4354564609
42	0.4273363761
43	0.4184211089
44	0.4090642856
45	0.4018028017
46	0.3909162613
47	0.3824723485
48	0.3744820623
49	0.3668416041
50	0.3595215362
51	0.3545556485
52	0.3479678035
53	0.3405518658
54	0.3343878233
55	0.3287638434
56	0.3243266083
57	0.3177003784
58	0.3123779888
59	0.3054352694
60	0.2997933717
61	0.2959720767
62	0.2912488131
63	0.2867816329
64	0.281549306
65	0.2771075495
66	0.2726234404
67	0.2674947621
68	0.2631979339
69	0.2591155232
70	0.2544571988
71	0.2508717335
72	0.246657713
73	0.2425178182
74	0.2390656062
75	0.2354124025
76	0.231303531
77	0.2270541711
78	0.2223650399
79	0.2189011062
80	0.2157127049
81	0.2121547022
82	0.2088579298
83	0.2048793416
84	0.2018340698
85	0.1987024947
86	0.195851853
87	0.1933769419
88	0.1902554899
89	0.1874690667
90	0.1846794747
91	0.1824552761
92	0.1794845647
93	0.1771241215
94	0.1747223959
95	0.1726398337
96	0.1702321208
97	0.1674560665
98	0.1649720957
99	0.1625317888
100	0.1606406355
101	0.1579315116
102	0.1558756898
103	0.1533445604
104	0.1512243769
105	0.1488324659
106	0.1466092838
107	0.1451172442
108	0.1430510621
109	0.1409198352
110	0.1383803665
111	0.1361933759
112	0.1338119079
113	0.1323244599
114	0.1307597566
115	0.1294193808
116	0.1274090442
117	0.1262335759
118	0.1247180978
119	0.1227902968
120	0.1208721526
121	0.1193365676
122	0.1178044956
123	0.1163329549
124	0.1146666023
125	0.1130915208
126	0.1118312462
127	0.110554516
128	0.1091437673
129	0.1077143696
130	0.1060931681
131	0.1047208662
132	0.1034910263
133	0.102398996
134	0.1013705931
135	0.1002890585
136	0.09885748529
137	0.09785296752
138	0.0969582586
139	0.09619149167
140	0.09517893396
141	0.0942539541
142	0.09346643713
143	0.09239775408
144	0.09145289656
145	0.09026094663
146	0.08950747556
147	0.08862193451
148	0.0877167848
149	0.08661476575
150	0.08533314483
151	0.08456099446
152	0.08367382171
153	0.08279954577
154	0.08175618981
155	0.08065168126
156	0.07985170388
157	0.07914273491
158	0.07868298251
159	0.07794199285
160	0.07710907644
161	0.0763967204
162	0.0756833981
163	0.07494939111
164	0.07432698972
165	0.07353285785
166	0.07278278122
167	0.07211753815
168	0.07152076182
169	0.07088990747
170	0.07036844346
171	0.06993571399
172	0.06944291734
173	0.068863817
174	0.06836641465
175	0.06784016923
176	0.06731310781
177	0.06676198638
178	0.06611680515
179	0.06565475622
180	0.0651909805
181	0.06475861621
182	0.0641152971
183	0.06342763014
184	0.06291250781
185	0.06206099455
186	0.06155773825
187	0.06092800853
188	0.06032061545
189	0.0599680001
190	0.05938541482
191	0.05918856835
192	0.05879852944
193	0.05836149827
194	0.05780228706
195	0.05735226077
196	0.05694144035
197	0.0565511493
198	0.05613706334
199	0.05577034863
200	0.05540501428
201	0.05486177047
202	0.05461436041
203	0.05431041826
204	0.05397274797
205	0.05364016381
206	0.05329956863
207	0.05291370644
208	0.05256250704
209	0.05226381214
210	0.05203830691
211	0.05169361853
212	0.05124856796
213	0.05099562937
214	0.05063924412
215	0.05029456569
216	0.04998549483
217	0.04973424131
218	0.04940030258
219	0.04914512353
220	0.04887525454
221	0.04861322182
222	0.04821483319
223	0.04781475899
224	0.04752818015
225	0.04729030944
226	0.04700430881
227	0.0467410628
228	0.04658584962
229	0.04631783326
230	0.04597943569
231	0.0456625813
232	0.04533197785
233	0.04509363585
234	0.04482715867
235	0.04464603801
236	0.04441763554
237	0.04426082048
238	0.04406819421
239	0.04386333967
240	0.04378817292
241	0.04354347748
242	0.04331111163
243	0.04310749531
244	0.04288253722
245	0.04259040523
246	0.04240697544
247	0.04221443553
248	0.04197866489
249	0.04181038402
250	0.04165456606
251	0.04141838492
252	0.04125242955
253	0.04097461231
254	0.04072255085
255	0.04059359913
256	0.04047647464
257	0.04030838593
258	0.04009270583
259	0.03987589671
260	0.03961952108
261	0.03935868975
262	0.03921671517
263	0.03888354558
264	0.03870291351
265	0.03853540674
266	0.03828668165
267	0.03808060508
268	0.03791553842
269	0.03769762988
270	0.03751485242
271	0.03733234563
272	0.03709651142
273	0.03699114576
274	0.03681478314
275	0.03668659864
276	0.03653680765
277	0.03638218505
278	0.03612079914
279	0.03596956593
280	0.03576820408
281	0.03559156748
282	0.03546102281
283	0.03532745939
284	0.03514311629
285	0.03496784809
286	0.03482193854
287	0.03461475279
288	0.03453589779
289	0.03436734342
290	0.03418109647
291	0.03400369484
292	0.03390533598
293	0.03378667052
294	0.0336441851
295	0.03354734506
296	0.03342625999
297	0.03328587593
298	0.03314371362
299	0.03296341171
300	0.03283532378
301	0.03268521979
302	0.03251894993
303	0.0323486979
304	0.03223600156
305	0.03206495604
306	0.03189628177
307	0.03178290402
308	0.03167368295
309	0.03149700915
310	0.03134341576
311	0.03123573787
312	0.03111067634
313	0.03103064705
314	0.03097345313
315	0.03079116898
316	0.03069866101
317	0.03059133953
318	0.03051967024
319	0.030418945
320	0.03024792336
321	0.03012126969
322	0.02995827735
323	0.02980392292
324	0.02963224054
325	0.02952385231
326	0.02940449994
327	0.02927145336
328	0.02914956248
329	0.02903358536
330	0.02889619014
331	0.02879466549
332	0.02872224739
333	0.02861384591
334	0.0285114924
335	0.02841544695
336	0.02828516298
337	0.02816594572
338	0.02807534627
339	0.02799420468
340	0.02787678539
341	0.02777227271
342	0.02766566947
343	0.02755876207
344	0.02745751356
345	0.02734161069
346	0.02724201209
347	0.02711800203
348	0.02702508766
349	0.02693767782
350	0.02684402268
351	0.0267247241
352	0.02660479996
353	0.02651620775
354	0.02643332434
355	0.02633897733
356	0.02627494094
357	0.02620373646
358	0.02609395417
359	0.02602218999
360	0.02590520125
361	0.02587086931
362	0.02578270569
363	0.02565870918
364	0.02562338378
365	0.02552674074
366	0.02542274176
367	0.02532067694
368	0.02527149228
369	0.02518432896
370	0.02505273819
371	0.02495245871
372	0.02487413762
373	0.02477533031
374	0.02468928579
375	0.02457649646
376	0.02444173047
377	0.02440456264
378	0.02433185254
379	0.02428623136
380	0.0242122553
381	0.02417248283
382	0.02409820753
383	0.02398477855
384	0.02391307361
385	0.02384155483
386	0.0237589804
387	0.02368647689
388	0.02357777353
389	0.02352287649
390	0.02347317565
391	0.02340034287
392	0.02333290027
393	0.02326817058
394	0.02317241719
395	0.02306558957
396	0.02299269596
397	0.02291074795
398	0.02279131333
399	0.02273719718
400	0.02267503729
401	0.02262117632
402	0.02256543895
403	0.02253464166
404	0.02245812852
405	0.02240554001
406	0.02234100833
407	0.0222669932
408	0.02222297059
409	0.02215195833
410	0.02208948167
411	0.022017944
412	0.02195464335
413	0.02190567988
414	0.02183565398
415	0.02177393399
416	0.02168300086
417	0.02160387463
418	0.0215588907
419	0.02149883703
420	0.021440614
421	0.02139540999
422	0.02133718276
423	0.02125998547
424	0.02119756247
425	0.02113125744
426	0.02108177118
427	0.02100907185
428	0.02093580747
429	0.02087465466
430	0.02080290281
431	0.02073558143
432	0.0206762332
433	0.02061137609
434	0.02054982854
435	0.02048201674
436	0.02043495303
437	0.02039011522
438	0.0203443801
439	0.02028836433
440	0.0202271127
441	0.02017260669
442	0.02010987035
443	0.02004592611
444	0.0199716112
445	0.0198966012
446	0.01981378967
447	0.01974844146
448	0.01970137472
449	0.01967066166
450	0.01961756066
451	0.01956438821
452	0.01952080872
453	0.01946806818
454	0.01940696653
455	0.01936284697
456	0.01931361388
457	0.01927090334
458	0.01922247422
459	0.01920054917
460	0.01915876764
461	0.01911007691
462	0.01905786217
463	0.01900947413
464	0.01895636229
465	0.01890149193
466	0.01884885721
467	0.01881197793
468	0.01876256868
469	0.01870548813
470	0.01866392994
471	0.01863945392
472	0.01858925574
473	0.01855112387
474	0.018495387
475	0.01844412652
476	0.01839298845
477	0.01834925023
478	0.01830736825
479	0.01825059909
480	0.01818197182
481	0.0181349819
482	0.01809365939
483	0.01805211038
484	0.01801820369
485	0.01796146835
486	0.01792188001
487	0.01786973924
488	0.01783124368
489	0.01779655266
490	0.01771766494
491	0.01768190442
492	0.01763257891
493	0.01760657215
494	0.01756513631
495	0.01751674645
496	0.01747403204
497	0.01742828588
498	0.01738298819
499	0.01734763658
500	0.01731213058
501	0.01727530141
502	0.0172179261
503	0.01717212739
504	0.01714207307
505	0.01711217136
506	0.01706563619
507	0.01701540697
508	0.01696086921
509	0.01690031527
510	0.01685263253
511	0.01681643149
512	0.01676032703
513	0.01670984442
514	0.01666095562
515	0.01663548745
516	0.01659830604
517	0.0165772512
518	0.01651122502
519	0.0164663317
520	0.01643499713
521	0.01639535083
522	0.01635601394
523	0.0163175984
524	0.01629424533
525	0.01625859195
526	0.0161936793
527	0.01616003825
528	0.01613248303
529	0.016106309
530	0.01607449206
531	0.01603523847
532	0.01599522034
533	0.01594911093
534	0.01592106633
535	0.01589707848
536	0.01586498962
537	0.01583404542
538	0.01579289587
539	0.0157609742
540	0.01572607654
541	0.0156672971
542	0.01564008538
543	0.01560447393
544	0.01557842312
545	0.0155545758
546	0.0155211768
547	0.015487088
548	0.01544897418
549	0.01541544273
550	0.01538064621
551	0.0153406441
552	0.01531476179
553	0.01530314181
554	0.0152906007
555	0.01525714023
556	0.01522944748
557	0.01521763157
558	0.01518549281
559	0.01514269317
560	0.01511018831
561	0.01507302448
562	0.01504350646
563	0.01501700728
564	0.01495999039
565	0.0149291899
566	0.01488854007
567	0.01483630277
568	0.01480744634
569	0.01478545872
570	0.01475250573
571	0.01472440554
572	0.01469737126
573	0.01467239984
574	0.01464269371
575	0.01461694955
576	0.01459596841
577	0.0145654802
578	0.01454023107
579	0.01451447808
580	0.01447865176
581	0.01443085966
582	0.0144076034
583	0.01437125757
584	0.01434739221
585	0.01431632642
586	0.01428286511
587	0.01425602695
588	0.01423120802
589	0.01420556773
590	0.01418606172
591	0.01415568868
592	0.01412393275
593	0.01410546579
594	0.01407754527
595	0.01403010224
596	0.01399764554
597	0.01396296154
598	0.01393516493
599	0.01390801123
600	0.01388339372
601	0.01386804933
602	0.01383545714
603	0.01380141113
604	0.01377696527
605	0.01374942776
606	0.0137214417
607	0.01368586205
608	0.01365768911
609	0.01361740231
610	0.01359944426
611	0.01356710094
612	0.01353405721
613	0.01350445137
614	0.01347398641
615	0.01345665991
616	0.01344164963
617	0.01341609035
618	0.01339051424
619	0.0133641724
620	0.01333757603
621	0.01331457787
622	0.01329471366
623	0.01326854187
624	0.01323363419
625	0.01320343417
626	0.01318109757
627	0.01315131539
628	0.01314222033
629	0.01311254763
630	0.01308394992
631	0.01305546484
632	0.01302471261
633	0.01300612719
634	0.01297907509
635	0.01294978938
636	0.01292442515
637	0.01290557225
638	0.01289085148
639	0.01285753146
640	0.01283861774
641	0.01282529208
642	0.01280014144
643	0.01276480229
644	0.01274994088
645	0.01272296187
646	0.01269316873
647	0.01267134083
648	0.01265000496
649	0.01262502828
650	0.01260466034
651	0.01258574756
652	0.01257161357
653	0.01255240584
654	0.01252834587
655	0.01250990832
656	0.01248814145
657	0.01246277061
658	0.01243904938
659	0.01241932834
660	0.01240272029
661	0.012380433
662	0.01235979543
663	0.01233774225
664	0.01232119484
665	0.01230570174
666	0.01229361391
667	0.01226386801
668	0.0122424131
669	0.01221866967
670	0.01219969698
671	0.01217778156
672	0.01215567794
673	0.01213312674
674	0.01211120545
675	0.0120854627
676	0.01206437559
677	0.01204091638
678	0.01202206551
679	0.01200327014
680	0.01197408141
681	0.01195687111
682	0.01192623656
683	0.01190030288
684	0.01187670829
685	0.01185930408
686	0.01183609089
687	0.01181448815
688	0.01179640363
689	0.01176545344
690	0.01175014042
691	0.01173276641
692	0.01171328353
693	0.01169762357
694	0.01168022
695	0.01166305889
696	0.0116486321
697	0.01163662747
698	0.01161667034
699	0.01159225068
700	0.01156759589
701	0.01155714554
702	0.01153695125
703	0.01152123737
704	0.01150727576
705	0.01148652721
706	0.01147669869
707	0.01145811234
708	0.01143903272
709	0.01142359339
710	0.01140566414
711	0.0113802203
712	0.0113548064
713	0.0113381321
714	0.01132445016
715	0.01130363335
716	0.01128523978
717	0.01126108338
718	0.01124007596
719	0.01122551483
720	0.0112105582
721	0.01118480476
722	0.01117113362
723	0.0111578911
724	0.01113899604
725	0.01112146682
726	0.01110362734
727	0.01108968084
728	0.0110696174
729	0.01105060115
730	0.01103207605
731	0.01102010963
732	0.01099974705
733	0.01097547349
734	0.01096000274
735	0.01093093444
736	0.01091683924
737	0.01089803704
738	0.01088382458
739	0.01087125763
740	0.01085553192
741	0.01084313997
742	0.01083325752
743	0.01081815055
744	0.01080718635
745	0.01079656362
746	0.01078190138
747	0.01076318155
748	0.01074464894
749	0.01072931149
750	0.01071365287
751	0.01070338439
752	0.01069086978
753	0.01067602808
754	0.01066163988
755	0.01064661961
756	0.01063157583
757	0.01061157173
758	0.01059076807
759	0.01057107006
760	0.01055897831
761	0.01055194337
762	0.01053600447
763	0.01052260863
764	0.01050618007
765	0.01048810954
766	0.01047312279
767	0.0104599078
768	0.01044193896
769	0.01042870593
770	0.01041070681
771	0.01040315152
772	0.01039589694
773	0.01039036955
774	0.01037725646
775	0.01036815538
776	0.01035185436
777	0.0103375627
778	0.01032400228
779	0.01030581754
780	0.0102934489
781	0.01028193973
782	0.01026726198
783	0.01024759516
784	0.010231314
785	0.01021456072
786	0.01018807385
787	0.01017162507
788	0.01015621637
789	0.01013952306
790	0.01012218347
791	0.0101103911
792	0.01009354998
793	0.01008096175
794	0.01006676303
795	0.01005431243
796	0.01003901009
797	0.0100305296
798	0.01001586898
799	0.00999729673
800	0.009985261791
801	0.009965495829
802	0.009955536512
803	0.009931402784
804	0.009916725391
805	0.009903359346
806	0.009893647896
807	0.009883050238
808	0.009866347605
809	0.009858464729
810	0.009845775741
811	0.009829550224
812	0.009815605028
813	0.00979738485
814	0.00978297413
815	0.009770200296
816	0.009752360163
817	0.009737127032
818	0.009725207206
819	0.009718600948
820	0.009702531203
821	0.009692231164
822	0.009679806467
823	0.009662372809
824	0.009643338515
825	0.009636802424
826	0.009622067002
827	0.009604115273
828	0.009599832535
829	0.009589337078
830	0.009580591525
831	0.00956569831
832	0.009550635908
833	0.009539193389
834	0.009522961835
835	0.009507010738
836	0.009489422537
837	0.00947646275
838	0.009466004224
839	0.009452347169
840	0.009436821871
841	0.00942638371
842	0.009409370434
843	0.009397779774
844	0.009386414324
845	0.009374507678
846	0.00936186267
847	0.009349961436
848	0.009338084409
849	0.009330200788
850	0.009317309249
851	0.009302329366
852	0.009289841306
853	0.009270960935
854	0.009257604487
855	0.009245348892
856	0.009231585165
857	0.009215880912
858	0.009207840778
859	0.009201974622
860	0.009186688242
861	0.009170787169
862	0.009156385548
863	0.00914390553
864	0.009127327659
865	0.009113568372
866	0.009095079504
867	0.009089636336
868	0.009081337458
869	0.009072288885
870	0.009063611719
871	0.009054372537
872	0.009044265648
873	0.009038785522
874	0.009027699274
875	0.009014177465
876	0.008999511899
877	0.008991693599
878	0.008975428046
879	0.008963153711
880	0.008952401885
881	0.00893557087
882	0.008926778018
883	0.008917751601
884	0.008905831887
885	0.008896785449
886	0.008885647892
887	0.008873999614
888	0.008859632661
889	0.00884931669
890	0.008836809092
891	0.008818040686
892	0.008805846956
893	0.008796222709
894	0.008780970407
895	0.008768336881
896	0.008758685475
897	0.008748628786
898	0.008735947305
899	0.008723932181
900	0.008715648633
901	0.008702723659
902	0.008694489224
903	0.008680623528
904	0.008667667534
905	0.008655647059
906	0.008644469373
907	0.008635692334
908	0.008627758986
909	0.00861956063
910	0.008611615578
911	0.008601097522
912	0.008589972194
913	0.008576995987
914	0.008567027727
915	0.008553578073
916	0.008547403881
917	0.008538523465
918	0.008530941081
919	0.00852306055
920	0.008518725157
921	0.008508802302
922	0.008495456117
923	0.008483130117
924	0.00847293932
925	0.00846222789
926	0.008456816348
927	0.008446979883
928	0.008439239005
929	0.008430298234
930	0.008420551241
931	0.008407228984
932	0.00840125134
933	0.008388447257
934	0.008377350563
935	0.008365905798
936	0.008350831586
937	0.008336986454
938	0.008332790926
939	0.008320379555
940	0.008306635107
941	0.008291894541
942	0.008283976832
943	0.008271206125
944	0.008262093957
945	0.008249392659
946	0.008243397292
947	0.008232656184
948	0.008226751608
949	0.008217123073
950	0.008207897535
951	0.008198908577
952	0.008190094706
953	0.008180673242
954	0.008171377483
955	0.008155595642
956	0.008147593219
957	0.008135191444
958	0.008124277537
959	0.008115043737
960	0.0081033568
961	0.008090325932
962	0.008082071239
963	0.008072313612
964	0.008066192171
965	0.008056679587
966	0.008052456429
967	0.008044766786
968	0.008036651068
969	0.008028945783
970	0.008013633214
971	0.008001782174
972	0.007997289763
973	0.007993523201
974	0.007977911063
975	0.007969408389
976	0.00795806198
977	0.007948810407
978	0.007941297792
979	0.007935088855
980	0.00792641358
981	0.00791356223
982	0.007902009885
983	0.007897709245
984	0.007885926535
985	0.007877492821
986	0.007868419221
987	0.007859027193
988	0.007851951028
989	0.007840332887
990	0.00782926705
991	0.007820224688
992	0.007808942145
993	0.007806279488
994	0.00779349538
995	0.00778093784
996	0.007771530806
997	0.007762631437
998	0.007754438761
999	0.007745045335
